index,study,age,gender,education,language,birth_place,location,group,task,id,t1_exclude,t1_dscore,t2_exclude,t2_dscore,Q1_A1,Q1_A2 *,Q1_A3 *,Q1_A4,Q1_A5 *,Q1_A6,Q1_A7,Q1_A8 *,Q1_A9,Q1_A10 *,t1_ques,Q2_A1,Q2_A2 *,Q2_A3 *,Q2_A4,Q2_A5 *,Q2_A6,Q2_A7,Q2_A8 *,Q2_A9,Q2_A10 *,t2_ques_computed,t2_ques,t1_ques_norm,t2_ques_norm,1st check indicator,2nd check,2nd check indicator,exclude,exclude_t1,dscore_paired_even_t1,dscore_paired_odd_t1,exclude_t2,dscore_paired_even_t2,dscore_paired_odd_t2,t1_com_d_norm,t2_com_d_norm
621,S1,48,Male,Professional degree,English,United Kingdom ,United Kingdom ,0,IAT,R_1gUdOIEbQFXJPtg,False,0.170843932,False,0.24697893,3,2,2,4,3,4,4,3,3,2,36,3,2,2,4,2,4,4,3,4,2,38,38,0.919919303,0.512986354,,,,0,False,-0.217489197,0.329638656,False,-0.267661983,-0.102161294,1.058214446,1.188380604
623,S1,35,Female,Bachelor's degree,English,United Kingdom ,United Kingdom ,0,IAT,R_1H5pc1yNA0ekS4r,False,0.289202645,False,-0.242766974,2,1,1,4,2,4,4,4,4,4,36,2,1,1,4,2,4,4,2,4,4,38,38,0.919919303,0.512986354,,,,0,False,0.309016102,0.437329204,False,-0.017010872,-0.343938378,1.260569465,0.351073922
626,S1,35,Male,High school graduate,English,United Kingdom ,United Kingdom ,2,IAT,R_1igtWnbxDNDqE60,False,1.133841039,False,0.557627574,2,3,4,3,4,2,4,4,2,4,24,2,3,3,2,4,3,4,4,2,4,25,25,,,*,introvert,*,1,False,0.896463264,1.282997065,False,0.310116673,0.499447321,2.70462722,1.719489048
629,S1,20,Male,High school graduate,English,United Kingdom ,United Kingdom ,2,IAT,R_1JEFjPSwTZLzESM,False,-0.608806595,False,-0.426650301,1,5,5,1,5,2,1,3,2,5,14,5,1,1,5,1,5,5,1,5,1,50,50,-1.596651585,1.267349823,,Extraverted,,0,False,-0.585426946,-0.703697255,False,-0.155707389,-0.970203541,-0.27473513,0.036693064
631,S1,32,Female,Some college (no degree),English,United Kingdom ,United Kingdom ,0,IAT,R_1jkTBvAh65BiXBc,False,0.253248106,False,-0.278091324,3,3,2,3,3,4,4,3,4,4,33,3,2,1,4,3,4,4,3,4,3,37,37,0.576750545,0.450122732,,,,0,False,0.188009307,0.346667447,False,-0.284338498,0.17225362,1.199098862,0.29068074
634,S1,48,Female,Professional degree,English,United Kingdom ,United Kingdom ,0,IAT,R_1K3Y2JoMkzlHZSI,False,-1.244929242,False,-0.377654554,4,2,2,4,2,2,4,4,1,3,32,4,2,2,4,4,2,4,4,2,2,32,32,0.462360959,0.135804619,,,,0,False,-1.261433822,-0.765699064,False,-0.495008067,-0.361537857,-1.362298575,0.120459903
635,S1,56,Female,Master's degree,English,United Kingdom ,United Kingdom ,1,IAT,R_1KkkZHN57l2GJh6,False,-0.930284534,False,-0.755072488,1,5,1,3,4,3,1,5,1,5,19,1,1,1,1,1,1,1,1,1,1,30,30,-1.024703656,0.010077375,,introverted,,0,False,-0.929991046,-0.633026937,False,-0.674090501,-0.798290875,-0.824358157,-0.524802376
636,S1,37,Female,High school graduate,English,United Kingdom ,United Kingdom ,1,IAT,R_1LAnGfRcVRTJwna,False,-0.462462262,False,-0.366328441,2,4,4,2,5,2,1,5,1,5,15,1,5,5,1,5,1,1,5,1,5,10,10,-1.482261999,-1.247195074,,introverted,,0,False,-0.293852226,-0.483175425,False,-0.623130791,-0.075771554,-0.024533777,0.139823883
637,S1,42,Male,Some college (no degree),English,United Kingdom ,United Kingdom ,1,IAT,R_1lfAF6TOGsZEGTW,False,-0.459886685,False,-0.328945446,3,2,2,4,3,3,3,3,3,2,34,1,5,5,1,5,1,1,5,1,5,10,10,0.691140131,-1.247195074,,Introverted,,0,False,-0.725950231,-0.221640522,False,-0.313480959,-0.299919279,-0.020130377,0.203736682
638,S1,53,Male,Bachelor's degree,English,United Kingdom ,United Kingdom ,1,IAT,R_1LhQZRsUJ9Plq7P,False,-0.920959116,False,-0.526693126,1,4,3,2,4,3,2,4,4,3,24,1,5,5,1,5,1,5,5,1,5,14,14,-0.452755727,-0.995740584,,introverted,,0,False,-0.539158347,-0.760501553,False,-0.11289225,-0.80425815,-0.808414717,-0.134347726
640,S1,45,Male,Master's degree,English,United Kingdom ,United Kingdom ,0,IAT,R_1ln3CZMYouSoZkE,False,-1.119081132,False,-0.402781781,2,2,3,4,3,3,1,4,3,4,27,3,2,3,4,3,4,1,3,3,4,30,30,-0.10958697,0.010077375,,,,0,False,-0.903237211,-1.131588875,False,-0.322324814,-0.436698445,-1.147139118,0.077500492
642,S1,59,Male,Bachelor's degree,English,United Kingdom ,United Kingdom ,0,IAT,R_1mx6WD0SSVJUVes,False,-1.10983793,False,-0.979634398,2,4,2,4,3,2,2,4,2,5,24,2,4,2,4,2,2,2,4,2,4,26,26,-0.452755727,-0.241377115,,,,0,False,-1.285423775,-0.932245118,False,-1.192118911,-1.132698393,-1.13133624,-0.908730421
644,S1,56,Female,Associate's degree,English,United Kingdom ,United Kingdom ,2,IAT,R_1N1WG7fUdHC2JOu,False,-0.770259076,False,-1.064437498,2,5,4,2,5,1,1,5,1,4,14,5,1,1,5,1,5,5,1,5,1,50,50,-1.596651585,1.267349823,,extraverted,,0,False,-0.926119764,-0.675090623,False,-1.339015553,-0.936974372,-0.550766517,-1.053716223
645,S1,29,Female,Bachelor's degree,English,United Kingdom ,United Kingdom ,0,IAT,R_1nPkEz0E30nNz1N,False,-0.351998763,False,-0.186415681,1,4,4,3,5,2,2,5,1,4,17,1,4,4,2,5,2,2,5,1,4,16,16,-1.253482828,-0.870013339,,,,0,False,-0.365261651,-0.459466325,False,-0.04800902,-0.424144478,0.164322985,0.44741636
646,S1,61,Male,High school graduate,English,United Kingdom ,United Kingdom ,1,IAT,R_1NsLS1cvH482dbx,False,-0.613164903,False,-0.471638951,1,5,4,4,5,2,4,4,1,5,19,1,5,5,1,5,1,1,5,1,5,10,10,-1.024703656,-1.247195074,,introverted,,0,False,-0.585557973,-0.722259721,False,-0.396921641,-0.71871134,-0.282186424,-0.04022294
647,S1,60,Female,Bachelor's degree,English,United Kingdom ,United Kingdom ,2,IAT,R_1Nt3uXjo2X9hjWa,False,-0.769083487,False,0.248237878,3,1,1,5,2,4,4,3,4,3,40,5,1,1,5,1,5,5,1,5,1,50,50,1.377477646,1.267349823,,extraverted,,0,False,-0.241093632,-0.883647159,False,0.218942477,0.307470305,-0.548756642,1.190532996
649,S1,23,Male,Some college (no degree),English,United Kingdom ,United Kingdom ,0,IAT,R_1ODDhuAOkqESsGI,False,-0.08265692,False,-0.592514656,1,4,4,3,4,3,2,4,3,3,23,1,4,4,3,3,2,2,4,2,4,21,21,-0.567145313,-0.555695227,,,,0,False,-0.174460051,0.056397447,False,-0.568515201,0.197458243,0.624810194,-0.246881198
650,S1,51,Male,Bachelor's degree,English,United Kingdom ,United Kingdom ,0,IAT,R_1oqfM8nsbFTLXq4,False,-1.212636021,False,0.100155586,2,4,2,5,3,4,4,2,3,2,35,2,2,2,4,2,4,4,3,4,2,37,37,0.805529717,0.450122732,,,,0,False,-1.518703762,-1.582524826,False,0.399642226,-0.13299876,-1.307087639,0.937360298
651,S1,31,Male,Bachelor's degree,English,United Kingdom ,United Kingdom ,0,IAT,R_1Pb0fbpOZ7fLlVs,False,-0.246904197,False,-0.334078967,3,3,2,4,3,3,3,4,2,4,29,3,3,3,4,3,3,3,4,2,4,28,28,0.119192202,-0.11564987,,,,0,False,-0.138278456,-0.174177969,False,-0.378931578,-0.193930471,0.344000613,0.194960025
652,S1,42,Male,Master's degree,English,United Kingdom ,United Kingdom ,1,IAT,R_1pDzc5Z2vpoNMTq,False,-0.044115332,False,0.150237436,2,4,2,4,3,3,3,4,2,4,27,1,2,2,2,5,1,1,5,1,5,17,17,-0.10958697,-0.807149717,,Introverted,,0,False,-0.28492032,0.306757477,False,0.139982556,0.462247996,0.690703811,1.022984021
653,S1,31,Male,Master's degree,English,United Kingdom ,United Kingdom ,1,IAT,R_1pJLV5yJDx2Uiqz,False,-0.673928726,False,-0.840499621,2,3,4,3,4,4,2,2,2,4,26,1,4,4,2,5,1,1,5,2,4,15,15,-0.223976555,-0.932876962,,introverted,,0,False,-0.626071972,-0.637613516,False,-0.726117274,-1.099944325,-0.386072856,-0.670855071
654,S1,59,Female,High school graduate,English,United Kingdom ,United Kingdom ,1,IAT,R_1pL5KEaBd0Pqdh7,False,1.054191782,False,0.284838132,3,2,2,2,2,4,4,4,1,3,31,1,1,1,3,2,3,2,2,1,2,32,32,0.347971374,0.135804619,,introvert,,0,False,0.972371237,0.892421758,False,0.47830216,0.183477987,2.568452818,1.253107563
655,S1,71,Male,High school graduate,English,United Kingdom ,United Kingdom ,1,IAT,R_1PS1fMJme17c18l,False,-0.408694529,False,-1.222109408,3,2,1,5,2,4,4,4,2,2,37,1,1,1,1,1,1,1,1,1,5,26,26,1.034308889,-0.241377115,,Introverted,,1,True,-0.173822351,-0.396150382,True,-1.175156157,-0.876838457,0.06739161,-1.32328406
656,S1,25,Female,Some college (no degree),English,United Kingdom ,United Kingdom ,0,IAT,R_1psalkMtMpbzLDO,False,-0.567041994,False,-0.073315951,2,5,5,3,4,2,1,4,1,5,16,1,5,5,2,2,1,1,4,1,5,15,15,-1.367872414,-0.932876962,,,,0,False,-0.438511719,-0.538417356,False,0.345333084,-0.24696906,-0.203331205,0.640780223
657,S1,62,Female,High school graduate,English,United Kingdom ,United Kingdom ,2,IAT,R_1psBHATItsaE8co,False,-1.287782869,False,-0.528156014,3,2,2,3,2,4,1,4,3,4,30,5,1,1,5,1,5,5,1,5,1,50,50,0.233581788,1.267349823,,extroverted,,0,False,-0.890131878,-0.936468534,False,-0.227845519,-0.788180765,-1.435564381,-0.13684879
662,S1,44,Male,Bachelor's degree,English,United Kingdom ,United Kingdom ,0,IAT,R_21BBSQgJMXbetAv,False,-1.036648699,False,-0.401424116,2,4,4,3,4,3,2,4,2,3,23,2,4,4,3,4,3,2,4,2,3,23,23,-0.567145313,-0.429967982,,,,0,False,-1.147434785,-0.833340437,False,-0.355963141,-0.395862275,-1.006206387,0.079821659
664,S1,64,Female,Bachelor's degree,English,United Kingdom ,United Kingdom ,0,IAT,R_21nDHad2WO32Al0,False,-0.932944119,False,-0.225830636,2,1,2,4,2,4,3,4,2,5,31,2,1,2,3,2,4,2,4,4,4,32,32,0.347971374,0.135804619,,,,0,False,-0.623273747,-0.7982007,False,-0.334657029,-0.389157885,-0.828905186,0.380029568
665,S1,60,Male,Master's degree,English,United Kingdom ,United Kingdom ,0,IAT,R_21umfCAE0beWD1F,False,-1.150260619,False,-1.365613381,1,3,2,3,4,2,1,4,3,4,23,1,3,2,2,4,2,1,5,3,4,21,21,-0.567145313,-0.555695227,,,,0,False,-1.468556083,-0.981393689,False,-1.924030451,-1.539656072,-1.20044593,-1.568629317
666,S1,47,Female,High school graduate,English,United Kingdom ,United Kingdom ,1,IAT,R_21yRZfcqEMdnbAa,False,-0.956357959,False,0.180817104,2,2,1,4,4,4,2,5,1,4,27,2,2,1,4,5,4,2,5,1,4,26,26,-0.10958697,-0.241377115,,introverted,,0,False,-1.148004328,-0.783804238,False,-0.139412735,0.191991227,-0.868935259,1.075265336
667,S1,58,Female,Bachelor's degree,English,United Kingdom ,United Kingdom ,2,IAT,R_21zUJgz1bmJftsj,False,-0.961336787,False,-1.21070088,1,4,4,2,3,3,1,5,1,3,19,5,1,1,5,1,5,5,1,5,1,50,50,-1.024703656,1.267349823,,extrovert,,0,False,-0.799090838,-1.105314312,False,-1.3597966,-0.931931465,-0.87744744,-1.303779176
669,S1,37,Female,High school graduate,English,United Kingdom ,United Kingdom ,1,IAT,R_232EXWUhJOztw6w,False,-0.475172044,False,-0.616237422,2,3,4,3,4,3,2,5,1,4,21,1,5,1,1,1,1,1,5,1,5,18,18,-0.795924485,-0.744286094,,introverted,,0,False,-0.349009032,-0.511871012,False,-0.522418331,-0.738826602,-0.046263382,-0.287439435
670,S1,55,Male,Some college (no degree),English,United Kingdom ,United Kingdom ,0,IAT,R_2338ifaqrrS0q8v,False,0.041825731,False,-0.17460873,2,3,4,4,3,3,3,4,3,3,28,3,3,4,3,4,3,3,4,3,3,27,27,0.004802616,-0.178513493,,,,0,False,-0.189619205,0.142927915,False,-0.230401327,-0.095097266,0.83763516,0.467602417
672,S1,52,Female,Some college (no degree),English,United Kingdom ,United Kingdom ,2,IAT,R_23KA2pxRtCmnVkt,False,-0.991856818,False,-0.315214816,1,3,2,4,3,4,2,2,2,4,29,5,1,1,5,1,5,5,1,5,1,50,50,0.119192202,1.267349823,,extrovert,,0,False,-0.7806066,-1.157424785,False,-0.301021904,-0.362732626,-0.929626796,0.227211607
673,S1,30,Female,Some college (no degree),English,United Kingdom ,United Kingdom ,1,IAT,R_23UeAL5URZCoEy2,False,-0.562380525,False,-0.634248609,1,4,3,3,4,3,3,5,1,4,21,1,5,5,1,5,1,1,5,1,5,10,10,-0.795924485,-1.247195074,,introverted,,0,False,0.157790632,-0.820692221,False,-0.828561859,-0.362411164,-0.195361606,-0.318232724
674,S1,74,Male,High school graduate,English,United Kingdom ,United Kingdom ,0,IAT,R_23VvmGVZXjfrXNP,False,-0.186651441,False,-0.175930858,3,2,2,3,3,4,2,3,2,2,32,2,2,3,3,3,4,2,4,2,3,28,28,0.462360959,-0.11564987,,,,0,False,-0.18733114,-0.418812543,False,-0.213093131,0.029904531,0.447013286,0.465342008
677,S1,50,Male,Some college (no degree),English,United Kingdom ,United Kingdom ,1,IAT,R_25v9AgoJed8BBdo,False,-0.81220608,False,-0.865972667,3,3,3,3,3,3,2,4,3,4,27,1,5,5,1,5,1,1,5,1,5,10,10,-0.10958697,-1.247195074,,introvert,,0,False,-0.759978275,-0.893105073,False,-0.720062864,-0.898223332,-0.622482291,-0.71440572
679,S1,31,Female,I prefer not to say,English,United Kingdom ,United Kingdom ,0,IAT,R_25Ykhv9sjhgNAqq,False,-0.735695559,False,-0.279189565,3,1,3,1,4,2,1,3,3,4,25,3,2,2,2,3,2,2,3,2,1,30,30,-0.338366141,0.010077375,,,,0,False,-0.743942512,-0.586651414,False,-0.213250579,-0.315237424,-0.491674112,0.288803104
681,S1,45,Female,Bachelor's degree,English,United Kingdom ,United Kingdom ,1,IAT,R_272lqD7vXIpEhZl,False,0.299984341,False,-0.399084132,3,2,2,5,2,4,4,3,3,2,38,1,5,5,1,5,1,1,5,1,5,10,10,1.148698474,-1.247195074,,introverted,,0,False,0.001595898,0.377124766,False,-0.47810392,-0.360354664,1.279002668,0.083822273
682,S1,24,Female,Master's degree,English,United Kingdom ,United Kingdom ,1,IAT,R_27BirEwdD8bwySD,False,-1.018357135,False,-0.954517307,1,5,3,1,5,1,1,5,1,5,12,1,5,5,1,5,1,1,5,1,5,10,10,-1.825430757,-1.247195074,,introverted,,0,False,-1.101225258,-0.911715775,False,-1.102149796,-1.054632583,-0.974933745,-0.865788342
683,S1,69,Female,High school graduate,English,United Kingdom ,United Kingdom ,2,IAT,R_27BxcDiamZat3Kt,False,-0.83361074,False,-0.302853229,1,2,2,3,4,3,1,5,1,4,22,5,1,1,5,1,5,5,1,5,1,50,50,-0.681534899,1.267349823,,extroverted,,0,False,-0.890330212,-0.649037726,False,-0.439671482,-0.156031767,-0.659077319,0.248345911
685,S1,27,Male,High school graduate,English,United Kingdom ,United Kingdom ,1,IAT,R_27r3QcUZEdN4ULt,False,-0.961618083,False,-0.869150492,1,4,4,2,4,2,2,4,2,4,19,1,5,5,1,5,1,1,5,1,5,10,10,-1.024703656,-1.247195074,,introverted,,0,False,-0.674648671,-1.184434566,False,-0.687361504,-0.889142026,-0.877928365,-0.71983877
686,S1,51,Male,Professional degree,English,United Kingdom ,United Kingdom ,2,IAT,R_28MzYH1EQVtHhnP,False,-0.065950734,False,-0.19631476,3,4,1,4,3,3,2,5,3,3,29,5,2,1,5,1,5,5,2,5,1,48,48,0.119192202,1.141622578,,Extrovert,,0,False,-0.143786136,0.394470748,False,-0.411608638,-0.568270233,0.653372355,0.430492145
688,S1,21,Female,Bachelor's degree,English,United Kingdom ,United Kingdom ,2,IAT,R_29aycuTnpY5EYVp,False,-0.776599795,False,0.454935131,2,2,2,4,4,4,5,4,4,5,32,5,1,1,5,1,5,5,1,5,1,50,50,0.462360959,1.267349823,,extroverted ,,0,False,-0.66581914,-0.656868438,False,0.410916724,0.480803399,-0.561607091,1.543918272
689,S1,21,Male,High school graduate,English,United Kingdom ,United Kingdom ,0,IAT,R_29nR4HKZZLyMzkh,False,0.353270266,False,0.173261817,1,5,5,1,5,3,1,5,1,5,12,1,5,5,1,5,3,1,5,1,5,12,12,-1.825430757,-1.121467829,,,,0,False,0.243750469,0.155450719,False,-0.340382618,0.020378434,1.370104321,1.062348246
691,S1,48,Male,Bachelor's degree,English,United Kingdom ,United Kingdom ,0,IAT,R_29stbBREzc8VbNc,False,-0.537545906,False,-0.879278797,2,4,3,2,4,2,2,4,2,4,21,2,4,4,2,4,2,2,4,2,4,20,20,-0.795924485,-0.61855885,,,,1,True,-0.024310272,-0.416124265,False,-1.139779076,-0.622616108,-0.15290246,-0.737154887
692,S1,74,Female,Doctorate degree,English,United Kingdom ,United Kingdom ,0,IAT,R_2aeraK1sCK2gPcI,False,0.604491376,False,0.546637432,3,2,2,4,2,4,5,2,4,3,39,4,2,2,5,2,4,5,3,3,2,40,40,1.26308806,0.638713599,,,,1,False,0.53859107,0.33629943,True,0.396071825,0.615935121,1.799610953,1.70069947
694,S1,28,Male,Master's degree,English,United Kingdom ,United Kingdom ,1,IAT,R_2b4arYaBQlGi5w8,False,-0.540798268,False,-0.009183699,4,3,3,5,3,4,5,3,4,4,36,2,5,4,1,1,2,2,1,2,5,23,23,0.919919303,-0.429967982,,introverted ,,0,False,-0.551366201,-0.616339955,False,0.083561503,0.089740621,-0.158462945,0.750425578
697,S1,50,Male,Bachelor's degree,English,United Kingdom ,United Kingdom ,2,IAT,R_2c8dYL57E805R1V,False,-0.931539646,False,-0.53703318,2,4,4,1,4,1,1,4,3,4,18,4,2,2,5,2,4,3,3,4,2,39,39,-1.139093242,0.575849976,,extrovert,,0,False,-0.741718192,-1.249198417,False,-0.36508582,-0.118443266,-0.826503992,-0.152025865
702,S1,29,Female,Bachelor's degree,English,Argentina ,United Kingdom ,0,IAT,R_2EgUFQtZXg5M0Ak,False,-0.005666357,False,0.028936665,3,2,1,4,2,4,4,2,4,4,38,4,1,1,4,2,4,4,2,4,3,41,41,1.148698474,0.701577221,,,,0,False,-0.184267285,0.178769622,False,-0.140495977,-0.152852331,0.756439091,0.815599037
704,S1,43,Female,Bachelor's degree,English,United Kingdom ,United Kingdom ,1,IAT,R_2fINvegNO14GmuK,False,0.275279145,False,0.136826164,3,3,2,4,2,4,4,4,2,3,33,1,1,5,1,5,1,1,5,1,5,14,14,0.576750545,-0.995740584,,INTROVERTED,,0,False,0.034301872,0.616186499,False,-0.096508507,0.421485113,1.236764795,1.000055094
705,S1,32,Male,Some college (no degree),English,United Kingdom ,United Kingdom ,1,IAT,R_2fvZyErQpSJFbu9,False,-0.878178414,False,-0.600409674,4,4,4,4,3,3,4,4,2,4,28,1,5,5,1,5,1,1,5,1,5,10,10,0.004802616,-1.247195074,,introverted,,0,False,-0.762066741,-0.321878451,False,-0.485372893,-1.016352949,-0.735273589,-0.260379119
709,S1,43,Female,High school graduate,English,United Kingdom ,United Kingdom ,2,IAT,R_2PjaITjEt0DYkly,False,0.686466941,False,0.3341886,3,2,2,5,2,4,4,3,4,2,39,5,1,1,5,1,5,5,1,5,1,50,50,1.26308806,1.267349823,,extroverted,,0,False,0.341378732,0.977341563,False,1.175200001,-0.14485461,1.939762586,1.33748086
712,S1,31,Female,Bachelor's degree,English,United Kingdom ,United Kingdom ,1,IAT,R_2QmwAMlODqCmOJ7,False,-0.277398394,False,0.250553483,3,2,2,4,3,4,4,4,2,3,33,1,5,5,1,5,1,1,5,1,5,10,10,0.576750545,-1.247195074,,introverted,,0,False,-0.462875824,-0.03566965,False,0.300190979,-0.050475699,0.291865424,1.194491931
715,S1,35,Female,Some college (no degree),English,United Kingdom ,United Kingdom ,0,IAT,R_2rIXFlpbrieEwmL,False,-0.442009293,False,0.399727249,4,3,3,4,3,3,3,3,3,3,32,4,3,3,3,3,4,3,3,3,3,32,32,0.462360959,0.135804619,,,,0,False,-0.458774156,-0.313986278,False,0.664718772,0.378946084,0.010434167,1.449530696
718,S1,24,Male,Some college (no degree),English,United Kingdom ,United Kingdom ,2,IAT,R_2rp9MMMdpG4Qdwj,True,-0.790252817,True,,1,5,4,2,4,2,1,5,1,4,15,5,1,1,5,1,5,5,1,5,1,50,50,,,,extroverted,,1,True,-0.022301778,0.0709716,True,-0.399962703,0.059939433,-0.58494933,
719,S1,76,Female,Bachelor's degree,English,United Kingdom ,United Kingdom ,2,IAT,R_2SBvrYfdPOhtoVj,False,-1.291732607,False,-0.998083742,2,4,3,4,4,4,2,2,4,4,29,5,1,1,5,1,5,5,1,5,1,50,50,0.119192202,1.267349823,,extroverted as possible,,0,False,-1.468924204,-1.894949772,False,-0.605061082,-1.566797282,-1.442317151,-0.940272817
721,S1,31,Male,Bachelor's degree,English,United Kingdom ,United Kingdom ,0,IAT,R_2Sl4vY5Ckj8BVjJ,False,-1.15185867,False,-0.783543745,1,4,3,3,4,4,2,1,1,4,25,2,3,3,3,4,3,2,5,1,3,23,23,-0.338366141,-0.429967982,,,,0,False,-1.398413759,-1.159629814,False,-0.919609211,-0.698923783,-1.203178078,-0.573478993
722,S1,34,Male,High school graduate,English,United Kingdom ,United Kingdom ,2,IAT,R_2sRwVHLS96tlQB3,False,0.099934458,False,0.08778213,2,2,2,4,3,4,4,4,3,3,33,5,1,1,5,1,5,5,1,5,1,50,50,0.576750545,1.267349823,,extrovert,,0,False,-0.115749074,-0.201552808,False,0.178850493,0.100236791,0.93698224,0.9162057
723,S1,68,Male,Bachelor's degree,English,United Kingdom ,United Kingdom ,2,IAT,R_2sSxzvuHal9i0mw,False,0.605724491,False,1.150812105,4,1,1,5,2,4,4,3,3,2,41,5,1,1,5,1,5,5,1,5,1,50,50,1.491867232,1.267349823,,extravert,,0,False,0.951593217,0.281429175,False,1.290478586,1.150212846,1.801719179,2.733642239
729,S1,29,other/ I prefer not to say,I prefer not to say,English,United Kingdom ,United Kingdom ,1,IAT,R_2tySvZP4sYlaIxG,False,-0.530357898,False,0.025287597,3,2,1,4,2,4,4,3,3,4,36,1,5,5,1,5,1,1,5,1,5,10,10,0.919919303,-1.247195074,,introverted,,0,False,-0.446768073,-0.316939123,False,-0.233227031,0.053245824,-0.140613298,0.809360315
730,S1,32,Male,Bachelor's degree,English,United Kingdom ,United Kingdom ,0,IAT,R_2urGD45WRKRFWC7,False,0.358773426,False,-0.349317415,3,2,1,4,3,5,5,3,3,2,39,3,2,1,4,3,4,4,3,3,2,37,37,1.26308806,0.450122732,,,,0,False,0.355711617,0.306995732,False,0.012824256,-0.292696691,1.37951294,0.168907221
